rank	name	count	mono_strict	mono_relaxed	t2t_consistency	quartet	markers
class	Coriobacteriia	64	yes	yes	1	1	285.5
class	Cyanobacteriia	284	no	yes	1	0.999	337.8
class	DG-26	4	no	no	0.75	0.913	270.0
class	Deferribacteres	7	yes	yes	1	1	344.0
class	Dehalococcoidia	40	no	yes	1	0.999	255.1
class	Deinococci	41	yes	yes	1	1	350.4
class	Desulfarculia	4	yes	yes	1	1	337.0
class	Desulfitobacteriia	21	yes	yes	1	1	360.0
class	Desulfobaccia	2	no	no	0.5	0.992	307.0
class	Desulfobacteria	30	no	no	0.968	0.999	341.0
class	Desulfobulbia	17	no	yes	1	1	345.8
class	Desulfofervidia	2	yes	yes	1	1	267.5
class	Desulfotomaculia	21	no	no	0.955	1	327.5
class	Desulfovibrionia	59	yes	yes	1	1	344.9
class	Desulfurellia	5	yes	yes	1	1	324.6
class	Desulfurobacteriia	4	yes	yes	1	1	305.3
class	Desulfuromonadia	24	no	yes	1	1	351.9
class	Dethiobacteria	2	yes	yes	1	1	321.0
class	Dictyoglomia	2	yes	yes	1	1	304.5
class	Dojkabacteria	12	no	yes	1	1	135.8
class	Doudnabacteria	19	yes	yes	1	1	154.8
class	EM3	2	yes	yes	1	1	273.0
class	Elusimicrobia	14	no	no	0.714	0.999	283.6
class	Endomicrobia	11	no	yes	1	1	284.3
class	Fibrobacteria	22	yes	yes	1	1	309.0
class	Fimbriimonadia	2	yes	yes	1	1	343.5
class	Fusobacteriia	36	yes	yes	1	1	300.6
class	GBS-1	2	yes	yes	1	1	289.5
class	GWA2-38-11	6	no	yes	1	1	306.2
class	GWC2-55-46	16	no	yes	1	1	302.0
class	Gammaproteobacteria	1609	no	yes	1	0.995	343.0
class	Gemmatimonadetes	3	yes	yes	1	1	358.3
class	Glassbacteria	2	yes	yes	1	1	293.5
class	Gracilibacteria	54	no	yes	1	0.999	177.3
class	Halanaerobiia	17	yes	yes	1	1	335.7
class	Halobacteria	101	no	yes	1	0.999	225.3
class	Heimdallarchaeia	3	yes	yes	1	1	182.7
class	Holophagae	2	yes	yes	1	1	349.0
class	Hydrogenedentia	3	yes	yes	1	1	257.0
class	Iainarchaeia	2	yes	yes	1	1	123.5
class	Ignavibacteria	22	no	yes	1	1	329.2
class	Kapabacteria	4	yes	yes	1	1	306.0
class	Kazan	8	yes	yes	1	1	125.5
class	Kiritimatiellae	5	yes	yes	1	1	290.8
class	Kryptonia	21	yes	yes	1	1	276.8
class	Ktedonobacteria	4	no	yes	1	0.999	285.3
class	Lentisphaeria	5	yes	yes	1	1	328.8
class	Leptospirae	27	yes	yes	1	1	339.5
class	Leptospirillia	9	yes	yes	1	1	317.3
class	Limnochordia	5	yes	yes	1	1	299.6
class	Lokiarchaeia	5	no	no	0.8	0.978	171.6
